,ba_rank,beer_name,brewery_name,style,abv,ba_score,num_ratings,beer_url,brewery_url,style_url,brewery_address,zips,lat,lng,state
0,1,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Imperial Stout,12.0,4.84,745,/beer/profile/23222/78820/,/beer/profile/23222/,/beer/styles/157/,"1600 Prosperity Rd, Decorah, Iowa, 52101",52101,43.345879,-91.77186999999999,IA
1,2,Marshmallow Handjee,3 Floyds Brewing Co.,Russian Imperial Stout,15.0,4.74,1659,/beer/profile/26/42349/,/beer/profile/26/,/beer/styles/84/,"9750 Indiana Pkwy, Munster, Indiana, 46321-4004",46321,41.551457,-87.50143,IN
2,3,Barrel-Aged Abraxas,Perennial Artisan Ales,American Imperial Stout,11.0,4.74,1492,/beer/profile/25888/87246/,/beer/profile/25888/,/beer/styles/157/,"8125 Michigan Ave, Saint Louis, Missouri, 63111-3500",63111,38.559302,-90.25174,MO
3,4,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Imperial Stout,11.0,4.73,1602,/beer/profile/17981/110635/,/beer/profile/17981/,/beer/styles/157/,"3924 W Spruce St, Tampa, Florida, 33607-2441",33607,27.963797999999997,-82.49537,FL
4,5,King Julius,Tree House Brewing Company,New England IPA,8.3,4.73,934,/beer/profile/28743/87846/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
5,6,Heady Topper,The Alchemist,New England IPA,8.0,4.71,14495,/beer/profile/46317/16814/,/beer/profile/46317/,/beer/styles/189/,"100 Cottage Club Rd, Stowe, Vermont, 05672-4139",5672,44.475387,-72.70225,VT
6,7,Very Hazy,Tree House Brewing Company,New England IPA,8.6,4.72,828,/beer/profile/28743/146770/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
7,8,King JJJuliusss,Tree House Brewing Company,New England IPA,8.4,4.73,408,/beer/profile/28743/237238/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
8,10,Mornin' Delight,Toppling Goliath Brewing Company,American Imperial Stout,12.0,4.7,1503,/beer/profile/23222/76421/,/beer/profile/23222/,/beer/styles/157/,"1600 Prosperity Rd, Decorah, Iowa, 52101",52101,43.345879,-91.77186999999999,IA
9,11,SR-71,Toppling Goliath Brewing Company,American Imperial Stout,14.0,4.71,502,/beer/profile/23222/162502/,/beer/profile/23222/,/beer/styles/157/,"1600 Prosperity Rd, Decorah, Iowa, 52101",52101,43.345879,-91.77186999999999,IA
10,12,Pliny The Younger,Russian River Brewing Company,American Imperial IPA,10.25,4.69,3255,/beer/profile/863/21690/,/beer/profile/863/,/beer/styles/140/,"725 4th St, Santa Rosa, California, 95404-4407",95404,38.457611,-122.69317,CA
11,13,Fundamental Observation,Bottle Logic Brewing,American Imperial Stout,14.3,4.69,1282,/beer/profile/33824/172669/,/beer/profile/33824/,/beer/styles/157/,"1072 N Armando St, Anaheim, California, 92806-2605",92806,33.835465,-117.87361999999999,CA
12,14,Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,American Imperial Stout,11.0,4.72,233,/beer/profile/32409/271487/,/beer/profile/32409/,/beer/styles/157/,"6401 N Florida Ave, Tampa, Florida, 33604-6007",33604,28.016846,-82.4566,FL
13,15,Very Green,Tree House Brewing Company,New England IPA,8.6,4.68,1172,/beer/profile/28743/122114/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
14,16,Bourbon County Brand Coffee Stout,Goose Island Beer Co.,American Imperial Stout,12.9,4.67,7395,/beer/profile/1146/57747/,/beer/profile/1146/,/beer/styles/157/,"1800 W Fulton St, Chicago, Illinois, 60612-2512",60612,41.880682,-87.6877,IL
15,17,Juice Machine,Tree House Brewing Company,New England IPA,8.2,4.68,787,/beer/profile/28743/207976/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
16,18,It Was All A Dream,J. Wakefield Brewing,American Imperial Stout,17.0,4.73,110,/beer/profile/36710/263446/,/beer/profile/36710/,/beer/styles/157/,"120 NW 24th St, Miami, Florida, 33127-4414",33127,25.813807999999998,-80.2058,FL
17,19,CBS (Canadian Breakfast Stout),Founders Brewing Company,American Imperial Stout,11.7,4.65,6055,/beer/profile/1199/47658/,/beer/profile/1199/,/beer/styles/157/,"235 Grandville Ave SW, Grand Rapids, Michigan, 49503",49503,42.964176,-85.65885,MI
18,20,Julius,Tree House Brewing Company,New England IPA,6.8,4.65,4592,/beer/profile/28743/86237/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
19,22,Double Sunshine,Lawson's Finest Liquids,American Imperial IPA,8.0,4.65,2388,/beer/profile/17980/64545/,/beer/profile/17980/,/beer/styles/140/,"155 Carroll Rd, Waitsfield, Vermont, 05673",5673,44.184703999999996,-72.8367,VT
20,23,Westly,Sante Adairius Rustic Ales,American Wild Ale,8.5,4.67,345,/beer/profile/28019/136652/,/beer/profile/28019/,/beer/styles/171/,"103 Kennedy Dr, Capitola, California, 95010-3640",95010,36.9761,-121.95316000000001,CA
21,24,Assassin,Toppling Goliath Brewing Company,American Imperial Stout,12.0,4.65,1339,/beer/profile/23222/78660/,/beer/profile/23222/,/beer/styles/157/,"1600 Prosperity Rd, Decorah, Iowa, 52101",52101,43.345879,-91.77186999999999,IA
22,25,Framboise Du Fermier,Side Project Brewing,Belgian Saison,8.0,4.68,234,/beer/profile/32319/168050/,/beer/profile/32319/,/beer/styles/129/,"7373 Marietta Ave, Maplewood, Missouri, 63143-3101",63143,38.612452000000005,-90.31822,MO
23,26,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,AleSmith Brewing Company,American Imperial Stout,12.0,4.65,914,/beer/profile/396/123286/,/beer/profile/396/,/beer/styles/157/,"9990 AleSmith Ct, San Diego, California, 92126",92126,32.914346,-117.14116000000001,CA
24,27,Pliny The Elder,Russian River Brewing Company,American Imperial IPA,8.0,4.64,15086,/beer/profile/863/7971/,/beer/profile/863/,/beer/styles/140/,"725 4th St, Santa Rosa, California, 95404-4407",95404,38.457611,-122.69317,CA
25,28,JJJuliusss,Tree House Brewing Company,New England IPA,6.8,4.65,532,/beer/profile/28743/174063/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
26,30,Anabasis,Side Project Brewing,American Barleywine,14.0,4.7,128,/beer/profile/32319/157262/,/beer/profile/32319/,/beer/styles/19/,"7373 Marietta Ave, Maplewood, Missouri, 63143-3101",63143,38.612452000000005,-90.31822,MO
27,31,Doubleganger,Tree House Brewing Company,New England IPA,8.2,4.64,889,/beer/profile/28743/259249/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
28,32,Abner,Hill Farmstead Brewery,New England IPA,8.2,4.63,2764,/beer/profile/22511/58299/,/beer/profile/22511/,/beer/styles/189/,"403 Hill Rd, Greensboro Bend, Vermont, 05842-8813",5842,44.574196,-72.24333,VT
29,33,Dinner,Maine Beer Company,New England IPA,8.2,4.63,2391,/beer/profile/20681/115317/,/beer/profile/20681/,/beer/styles/189/,"525 US Route 1, Freeport, Maine, 04032-7009",4032,43.843778,-70.10172,ME
30,34,Duck Duck Gooze,The Lost Abbey,Belgian Gueuze,7.0,4.62,1883,/beer/profile/18149/51116/,/beer/profile/18149/,/beer/styles/14/,"155 Mata Way #104, San Marcos, California, 92069-2983",92069,33.144908,-117.17128000000001,CA
31,36,Nectarine Premiere,de Garde Brewing,Belgian Saison,7.1,4.64,333,/beer/profile/31540/169616/,/beer/profile/31540/,/beer/styles/129/,"114 Ivy Ave, Tillamook, Oregon, 97141-8043",97141,45.459109000000005,-123.80389,OR
32,37,Beer:Barrel:Time,Side Project Brewing,American Imperial Stout,15.0,4.67,151,/beer/profile/32319/275206/,/beer/profile/32319/,/beer/styles/157/,"7373 Marietta Ave, Maplewood, Missouri, 63143-3101",63143,38.612452000000005,-90.31822,MO
33,38,V.S.O.J.,Revolution Brewing,British Barleywine,14.0,4.67,142,/beer/profile/22072/264097/,/beer/profile/22072/,/beer/styles/152/,"2323 N Milwaukee Ave, Chicago, Illinois, 60647-2924",60647,41.921126,-87.70085,IL
34,39,Parabola,Firestone Walker Brewing Co.,Russian Imperial Stout,12.7,4.61,6907,/beer/profile/2210/41815/,/beer/profile/2210/,/beer/styles/84/,"1400 Ramada Dr, Paso Robles, California, 93446",93446,35.640589,-120.70418000000001,CA
35,40,King Sue,Toppling Goliath Brewing Company,New England IPA,8.0,4.61,2453,/beer/profile/23222/113674/,/beer/profile/23222/,/beer/styles/189/,"1600 Prosperity Rd, Decorah, Iowa, 52101",52101,43.345879,-91.77186999999999,IA
36,41,Double Citra,Hill Farmstead Brewery,New England IPA,8.0,4.61,1958,/beer/profile/22511/69522/,/beer/profile/22511/,/beer/styles/189/,"403 Hill Rd, Greensboro Bend, Vermont, 05842-8813",5842,44.574196,-72.24333,VT
37,42,Fuzzy,Side Project Brewing,American Wild Ale,8.0,4.61,924,/beer/profile/32319/104649/,/beer/profile/32319/,/beer/styles/171/,"7373 Marietta Ave, Maplewood, Missouri, 63143-3101",63143,38.612452000000005,-90.31822,MO
38,43,KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Imperial Stout,12.3,4.6,13547,/beer/profile/1199/19960/,/beer/profile/1199/,/beer/styles/157/,"235 Grandville Ave SW, Grand Rapids, Michigan, 49503",49503,42.964176,-85.65885,MI
39,44,Bourbon County Brand Stout,Goose Island Beer Co.,American Imperial Stout,15.2,4.6,12912,/beer/profile/1146/10672/,/beer/profile/1146/,/beer/styles/157/,"1800 W Fulton St, Chicago, Illinois, 60612-2512",60612,41.880682,-87.6877,IL
40,46,Headroom,Trillium Brewing Company,New England IPA,8.0,4.61,684,/beer/profile/30654/186936/,/beer/profile/30654/,/beer/styles/189/,"50 Thomson Pl., Boston, Massachusetts, 02210",2210,42.347974,-71.04463,MA
41,47,Grande Negro Voodoo Papi - Bourbon Barrel-Aged,Voodoo Brewery,American Imperial Stout,12.5,4.62,370,/beer/profile/13371/209691/,/beer/profile/13371/,/beer/styles/157/,"215 Arch St, Meadville, Pennsylvania, 16335",16335,41.637502000000005,-80.15214,PA
43,49,Bourbon County Brand Vanilla Stout,Goose Island Beer Co.,American Imperial Stout,14.9,4.6,1743,/beer/profile/1146/53980/,/beer/profile/1146/,/beer/styles/157/,"1800 W Fulton St, Chicago, Illinois, 60612-2512",60612,41.880682,-87.6877,IL
44,50,Double Galaxy,Hill Farmstead Brewery,New England IPA,8.0,4.6,1538,/beer/profile/22511/67760/,/beer/profile/22511/,/beer/styles/189/,"403 Hill Rd, Greensboro Bend, Vermont, 05842-8813",5842,44.574196,-72.24333,VT
46,52,Bourbon Paradise,Prairie Artisan Ales,American Imperial Stout,15.9,4.61,476,/beer/profile/30356/314813/,/beer/profile/30356/,/beer/styles/157/,"223 N Main St, Tulsa, Oklahoma, 74103",74103,36.156892,-95.99508,OK
47,53,Ghost In The Machine - Double Dry-Hopped,Parish Brewing Company,New England IPA,8.0,4.63,206,/beer/profile/24822/316306/,/beer/profile/24822/,/beer/styles/189/,"229 Jared Dr, Broussard, Louisiana, 70518-4362",70518,30.134801,-91.95251,LA
48,54,Ann,Hill Farmstead Brewery,Belgian Saison,6.5,4.61,404,/beer/profile/22511/81697/,/beer/profile/22511/,/beer/styles/129/,"403 Hill Rd, Greensboro Bend, Vermont, 05842-8813",5842,44.574196,-72.24333,VT
49,55,Abricot Du Fermier,Side Project Brewing,Belgian Saison,8.0,4.61,339,/beer/profile/32319/137889/,/beer/profile/32319/,/beer/styles/129/,"7373 Marietta Ave, Maplewood, Missouri, 63143-3101",63143,38.612452000000005,-90.31822,MO
50,56,Atrial Rubicite,Jester King Brewery,American Wild Ale,5.8,4.59,1888,/beer/profile/24018/94634/,/beer/profile/24018/,/beer/styles/171/,"13005 Fitzhugh Road, Bld. B, Austin, Texas, 78736",78736,30.245558000000003,-97.94176999999999,TX
51,57,Maman,Perennial Artisan Ales,American Imperial Stout,11.5,4.61,323,/beer/profile/25888/141394/,/beer/profile/25888/,/beer/styles/157/,"8125 Michigan Ave, Saint Louis, Missouri, 63111-3500",63111,38.559302,-90.25174,MO
52,58,Double Dry Hopped Congress Street,Trillium Brewing Company,New England IPA,7.2,4.59,1509,/beer/profile/30654/134064/,/beer/profile/30654/,/beer/styles/189/,"50 Thomson Pl., Boston, Massachusetts, 02210",2210,42.347974,-71.04463,MA
53,59,Society & Solitude #4,Hill Farmstead Brewery,New England IPA,8.0,4.59,1323,/beer/profile/22511/83008/,/beer/profile/22511/,/beer/styles/189/,"403 Hill Rd, Greensboro Bend, Vermont, 05842-8813",5842,44.574196,-72.24333,VT
54,60,Triple Shot,Tree House Brewing Company,American Imperial Stout,9.0,4.6,455,/beer/profile/28743/160275/,/beer/profile/28743/,/beer/styles/157/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
55,61,Triple Sunshine,Lawson's Finest Liquids,American Imperial IPA,10.3,4.59,884,/beer/profile/17980/120372/,/beer/profile/17980/,/beer/styles/140/,"155 Carroll Rd, Waitsfield, Vermont, 05673",5673,44.184703999999996,-72.8367,VT
56,62,Zombie Dust,3 Floyds Brewing Co.,American Pale Ale (APA),6.2,4.58,10637,/beer/profile/26/64228/,/beer/profile/26/,/beer/styles/97/,"9750 Indiana Pkwy, Munster, Indiana, 46321-4004",46321,41.551457,-87.50143,IN
57,63,Green,Tree House Brewing Company,New England IPA,7.6,4.58,3093,/beer/profile/28743/88969/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
58,64,Doppelganger,Tree House Brewing Company,New England IPA,8.2,4.58,1859,/beer/profile/28743/211516/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
59,65,Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.6,4.58,1653,/beer/profile/30654/116067/,/beer/profile/30654/,/beer/styles/97/,"50 Thomson Pl., Boston, Massachusetts, 02210",2210,42.347974,-71.04463,MA
60,66,Swish,Bissell Brothers Brewing Co.,New England IPA,8.0,4.58,1550,/beer/profile/33519/123062/,/beer/profile/33519/,/beer/styles/189/,"4 Thompsons Pt Ste 108-109, Portland, Maine, 04102-2633",4102,43.658632,-70.2911,ME
61,68,Cable Car,The Lost Abbey,American Wild Ale,7.0,4.58,1070,/beer/profile/18149/38149/,/beer/profile/18149/,/beer/styles/171/,"155 Mata Way #104, San Marcos, California, 92069-2983",92069,33.144908,-117.17128000000001,CA
62,69,The Broken Truck,de Garde Brewing,American Wild Ale,5.0,4.6,285,/beer/profile/31540/173144/,/beer/profile/31540/,/beer/styles/171/,"114 Ivy Ave, Tillamook, Oregon, 97141-8043",97141,45.459109000000005,-123.80389,OR
63,70,Pirate Paradise,Prairie Artisan Ales,American Imperial Stout,13.0,4.6,257,/beer/profile/30356/247386/,/beer/profile/30356/,/beer/styles/157/,"223 N Main St, Tulsa, Oklahoma, 74103",74103,36.156892,-95.99508,OK
64,71,Black Tuesday - Reserve,The Bruery,American Imperial Stout,20.5,4.6,256,/beer/profile/16866/175916/,/beer/profile/16866/,/beer/styles/157/,"715 Dunn Way, Placentia, California, 92870",92870,33.883314,-117.85446,CA
65,72,Hunahpu's Imperial Stout,Cigar City Brewing,American Imperial Stout,11.0,4.57,4351,/beer/profile/17981/47022/,/beer/profile/17981/,/beer/styles/157/,"3924 W Spruce St, Tampa, Florida, 33607-2441",33607,27.963797999999997,-82.49537,FL
66,73,Focal Banger,The Alchemist,New England IPA,7.0,4.57,3915,/beer/profile/46317/111616/,/beer/profile/46317/,/beer/styles/189/,"100 Cottage Club Rd, Stowe, Vermont, 05672-4139",5672,44.475387,-72.70225,VT
67,74,The Peach,de Garde Brewing,American Wild Ale,7.3,4.6,244,/beer/profile/31540/199469/,/beer/profile/31540/,/beer/styles/171/,"114 Ivy Ave, Tillamook, Oregon, 97141-8043",97141,45.459109000000005,-123.80389,OR
68,75,Haze,Tree House Brewing Company,New England IPA,8.2,4.57,2827,/beer/profile/28743/125646/,/beer/profile/28743/,/beer/styles/189/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
69,77,Moment Of Clarity,Tree House Brewing Company,English Sweet / Milk Stout,7.7,4.59,317,/beer/profile/28743/322847/,/beer/profile/28743/,/beer/styles/82/,"129 Sturbridge Rd, Charlton, Massachusetts, 01507",1507,42.135142,-71.96961,MA
70,79,Pugachev Royale,Hangar 24 Brewing,Russian Imperial Stout,14.8,4.59,301,/beer/profile/16843/107620/,/beer/profile/16843/,/beer/styles/84/,"1710 Sessums Dr, Redlands, California, 92374",92374,34.063264000000004,-117.16888,CA
71,80,Pseudo Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,American Pale Ale (APA),5.8,4.57,1027,/beer/profile/23222/232168/,/beer/profile/23222/,/beer/styles/97/,"1600 Prosperity Rd, Decorah, Iowa, 52101",52101,43.345879,-91.77186999999999,IA
72,81,Coffee Cinnamon B-Bomb,Fremont Brewing Company,American Strong Ale,13.0,4.57,977,/beer/profile/20680/149554/,/beer/profile/20680/,/beer/styles/78/,"3409 Woodland Park Avenue North, Seattle, Washington, 98103",98103,47.671346,-122.34166,WA
73,83,Mexican Cake - Maple Bourbon Barrel-Aged,Westbrook Brewing Co.,American Imperial Stout,10.2,4.63,111,/beer/profile/24134/254978/,/beer/profile/24134/,/beer/styles/157/,"510 Ridge Rd, Mount Pleasant, South Carolina, 29464-7811",29464,32.813518,-79.85899,SC
74,84,Sip Of Sunshine,Lawson's Finest Liquids,American Imperial IPA,8.0,4.56,5643,/beer/profile/17980/117177/,/beer/profile/17980/,/beer/styles/140/,"155 Carroll Rd, Waitsfield, Vermont, 05673",5673,44.184703999999996,-72.8367,VT
